RSA	RSA_Name	RSR
C0054	PA, Luzerne County [Urban core] [Central] 1	0.603697693
C0055	PA, Lehigh County [Urban core]	0.511588858
C0056	PA, Northampton County [Urban core]	0.552690428
C0057	PA, Bucks County [Urban core] [Central] 1	0.505037831
C0058	PA, Montgomery County [Urban core] [Central] 1	0.545460312
C0059	PA, East Stroudsburg [Urban core]	0.567052874
C0060	PA, Philadelphia County [Urban core] [Central] 1	0.533459285
C0061	PA, Luzerne County [Urban core] [Central] 2	0.560001222
C0062	PA, Lackawanna County [Urban core]	0.573530568
C0063	PA, Hemlock Farms [Urban core]	0.552006182
C0064	PA, Wyoming County [Urban core]	0.556877422
C0065	PA, Bucks County [Urban core] [Central] 2	0.573130361
C0066	PA, Montgomery County [Urban core] [Central] 2	0.541733321
C0067	PA, Bucks County [Urban core] [Central] 3	0.541392531
C0068	PA, Philadelphia County [Urban core] [Central] 2	0.532731979
C0069	PA, Delaware County [Urban core]	0.547983307
C0070	PA, Reading [Urban core]	0.539769738
C0071	DE, New Castle County [Urban core]	0.472845863
C0072	DE, Dover [Urban core]	0.539690262
C0073	DE, Seaford [Suburban]	0.490618264
C0074	DC, District of Columbia [Urban core]	0.523528411
C0075	MD, Montgomery County [Urban core] [Central] 1	0.472455009
C0076	VA, Loudoun County [Urban core]	0.571388402
C0077	VA, Fauquier County [Urban core]	0.535201034
C0078	VA, Fairfax County [Urban core]	0.547988244
C0079	VA-WV, Winchester [Urban core]	0.550554261
C0080	MD, Charles County [Urban core]	0.502630137
C0081	MD, Prince George's County [Urban core]	0.52964522
C0082	MD, Calvert County [Urban core]	0.529219915
C0083	MD, St. Mary's County [Urban core]	0.539290521
C0084	MD, Anne Arundel County [Urban core]	0.54191224
C0085	MD, Baltimore County [Urban core]	0.528909773
C0086	MD, Montgomery County [Urban core] [Central] 2	0.497199946
C0087	MD, Harford County [Urban core]	0.521503481
C0088	MD, Baltimore city [Urban core]	0.508366169
C0089	MD, Carroll County [Urban core]	0.568093163
C0090	WV, Morgantown [Small town/rural]	0.574847903
C0091	MD, Queen Anne's County [Urban core]	0.486340215
C0092	MD, Cambridge [Suburban]	0.529793864
C0093	MD, Baltimore-Columbia-Towson [Large rural]	0.491536626
C0094	MD, Frederick County [Urban core]	0.537073318
C0095	MD, Washington County [Urban core]	0.593747988
C0096	MD, Salisbury-Ocean Pines [Urban core]	0.529106386
C0097	MD, Cecil County [Urban core]	0.501623919
C0098	VA, Arlington County [Urban core]	0.498057172
C0099	VA, Stafford County [Urban core]	0.579964818
C0100	VA, Lancaster County [Small town/rural]	0.522875138
C0101	VA, Richmond [Small town/rural]	0.480336053
C0102	VA-WV, Arlington-Alexandria-Reston [Suburban]	0.558614092
C0103	VA, Chesterfield County [Urban core]	0.519214777
C0104	VA, Albemarle County [Urban core]	0.522767155
C0105	VA, Rockingham County [Urban core] [Central] 1	0.542566528
C0106	VA, Rockingham County [Urban core] [Central] 2	0.524681027
C0107	VA, Staunton-Stuarts Draft [Urban core]	0.537535912
C0108	VA, Newport News city [Urban core]	0.53274333
C0109	VA, Gloucester County [Urban core]	0.500909794
C0110	VA, Richmond [Large rural]	0.579212561
C0111	VA, Accomack County [Small town/rural]	0.539734954
C0112	VA, Northampton County [Small town/rural]	0.552070846
C0113	VA, Portsmouth city [Urban core]	0.541593204
C0114	VA-NC, Virginia Beach-Chesapeake-Norfolk [Large rural]	0.549388482
C0115	VA, Virginia Beach city [Urban core]	0.536835874
C0116	VA, Prince George County [Urban core]	0.553224145
C0117	VA, Brunswick County [Large rural]	0.51045273
C0118	VA, Danville [Large rural]	0.561248309
C0119	VA, Lynchburg [Urban core]	0.507605207
C0120	VA, Roanoke city [Urban core]	0.530210114
C0121	VA, Patrick County [Suburban]	0.556233441
C0122	VA, Henry County [Suburban]	0.562930865
C0123	VA, Montgomery County [Urban core]	0.527937975
C0124	VA, Franklin County [Urban core]	0.527609972
C0125	VA, Danville [Suburban]	0.594158758
C0126	VA, Giles County [Urban core]	0.560804392
C0127	VA, Danville [Small town/rural]	0.53659179
C0128	VA, Scott County [Urban core]	0.582059556
C0129	VA, Washington County [Urban core]	0.577754697
C0130	VA, Floyd County [Large rural]	0.590011814
C0131	VA, Smyth County [Large rural]	0.548560122
C0132	WV-VA, Bluefield [Suburban]	0.564301257
C0133	VA, Giles County [Large rural]	0.567463946
C0134	VA, Botetourt County [Large rural]	0.561117446
C0135	VA, Craig County [Large rural]	0.518554321
C0136	WV-VA, Bluefield [Large rural]	0.595322185
C0137	WV, Raleigh County [Urban core]	0.58882651
C0138	WV, Beckley [Large rural]	0.553149324
C0139	WV, Elkins [Small town/rural]	0.566039665
C0140	WV, Summers County [Urban core]	0.556961513
C0141	WV, Kanawha County [Urban core]	0.505784275
C0142	WV, Cabell County [Urban core]	0.533227526
C0143	WV, Boone County [Urban core]	0.577117332
C0144	WV-OH-KY, Charleston-Huntington-Ashland [Urban core] [Central]	0.53053244
C0145	WV-KY-OH, Huntington-Ashland [Suburban]	0.550541898
C0146	WV, Parkersburg-Vienna [Large rural]	0.564988961
C0147	WV, Jackson County [Urban core]	0.545611505
C0148	VA-WV, Arlington-Alexandria-Reston [Urban core] [Central]	0.577563535
C0149	DC-MD-VA-WV-PA, Washington-Baltimore-Arlington [Urban core] [Outlying]	0.566589203
C0150	WV, Wayne County [Urban core]	0.5659205
C0151	WV, Marshall County [Urban core]	0.537158383
C0152	WV, Brooke County [Urban core]	0.523821476
C0153	WV, Parkersburg-Vienna [Urban core]	0.54245084
C0154	WV, Fairmont-Clarksburg [Large rural]	0.561428544
C0155	WV-OH-KY, Charleston-Huntington-Ashland [Large rural]	0.537607602
C0156	WV, Elkins [Suburban]	0.543367283
C0157	WV, Fairmont-Clarksburg [Suburban]	0.48505863
C0158	WV, Preston County [Urban core]	0.514754501
C0159	WV, Monongalia County [Urban core]	0.57241305
C0160	WV, Charleston [Small town/rural]	0.538825621
C0161	VA-WV, Winchester [Large rural]	0.54211139
C0162	WV, Pendleton County [Urban core]	0.560132707
C0163	PA, Butler County [Urban core]	0.584355476
C0164	PA, Westmoreland County [Urban core] [Central] 2	0.553815048
C0165	PA, Mercer County [Suburban] [Central] 2	0.585812537
C0166	PA, Somerset [Small town/rural]	0.559961811
C0167	PA, Jefferson County [Large rural]	0.570551402
C0168	PA, Johnstown [Large rural]	0.552302783
C0169	NY-NJ-CT-PA, New York-Newark [Suburban]	0.516962763
C0170	PA, Philadelphia County [Urban core] [Central] 3	0.572121818
C0171	VA, Prince William County [Urban core]	0.551393941
C0172	VA, Nelson County [Urban core]	0.547675282
C0173	VA, Buchanan County [Small town/rural]	0.592196732
C0174	WV, Fayette County [Urban core] [Central]	0.534750106
C0175	WV, Clay County [Urban core]	0.548381221
D0001	NC, Jacksonville [Urban core]	0.562514862
D0002	NC, Forsyth County [Urban core]	0.579941177
D0003	NC, Surry County [Urban core]	0.569139227
D0004	NC, Greensboro-High Point [Urban core]	0.555464105
D0005	NC, Wilkes County [Large rural]	0.593734322
D0006	NC, Rowan County [Urban core]	0.630411438
D0007	NC, Rockingham County [Suburban]	0.619586459
D0008	NC, Randolph County [Suburban]	0.565055567
D0009	NC, Sanford [Suburban]	0.552540609
D0010	NC, Rockingham [Large rural]	0.576628973
D0011	NC, Caswell County [Suburban]	0.563671746
D0012	NC, Burlington [Urban core]	0.539905798
D0013	NC, Pinehurst-Southern Pines [Suburban]	0.507717303
D0014	NC, Durham County [Urban core]	0.516497236
D0015	NC, Person County [Urban core]	0.575669133
D0016	NC, Anderson Creek [Urban core]	0.546689656
D0017	NC, Wake County [Urban core] [Central] 1	0.555092028
D0018	NC, Raleigh-Durham-Cary [Large rural]	0.586724925
D0019	NC, Wake County [Urban core] [Central] 2	0.529212084
D0020	NC, Raleigh-Cary [Suburban]	0.548160622
D0021	NC, Goldsboro [Urban core]	0.511015182
D0022	FL, Lake County [Urban core] [Central]	0.52951845
D0023	NC, Rocky Mount-Wilson-Roanoke Rapids [Urban core]	0.539976753
D0024	NC, Rocky Mount-Wilson-Roanoke Rapids [Large rural]	0.553790524
D0025	NC, Greenville-Washington [Suburban]	0.53042149
D0026	NC, Wilson [Suburban]	0.56324794
D0027	NC, Greenville-Washington [Urban core]	0.537225839
D0028	NC, Roanoke Rapids [Suburban]	0.554775974
D0030	NC, Greenville-Washington [Large rural]	0.557139926
D0031	NC, Rocky Mount [Suburban]	0.518382278
D0032	NC, Elizabeth City [Large rural]	0.564570572
D0033	NC, Kinston [Suburban]	0.618188775
D0034	NC, Elizabeth City [Suburban]	0.569547856
D0035	NC, Kill Devil Hills [Large rural]	0.520192414
D0036	NC, Currituck County [Urban core]	0.544061887
D0037	NC, Kill Devil Hills [Suburban]	0.582054169
D0038	NC, Albemarle [Suburban]	0.567109298
D0039	NC, Gaston County [Urban core]	0.57050146
D0040	NC, Anson County [Urban core]	0.591830719
D0041	NC, Shelby-Kings Mountain [Suburban]	0.564171065
D0042	NC, Forest City [Suburban]	0.570753525
D0043	NC, Cabarrus County [Urban core]	0.581580063
D0044	NC, Mecklenburg County [Urban core] [Central] 1	0.55410884
D0045	NC, Catawba County [Urban core]	0.575849963
D0046	NC, Mecklenburg County [Urban core] [Central] 2	0.572758731
D0047	NC, Iredell County [Urban core]	0.548908591
D0048	NC, Caldwell County [Urban core]	0.549575049
D0049	NC, Cumberland County [Urban core]	0.562589254
D0050	NC, Sampson County [Large rural]	0.527867959
D0051	NC, Bladen County [Large rural]	0.525580835
D0052	NC, Hoke County [Urban core]	0.554219748
D0053	NC, Lumberton [Suburban]	0.546612025
D0054	NC, Laurinburg [Suburban]	0.568494885
D0055	NC, New Bern-Morehead City [Small town/rural]	0.582680605
D0056	NC, New Hanover County [Urban core]	0.533818208
D0057	NC, Brunswick County [Urban core]	0.545858719
D0058	NC, Columbus County [Large rural]	0.525106512
D0059	NC, New Bern [Urban core]	0.565663168
D0061	NC, Morehead City [Suburban]	0.556156481
D0062	NC, Boone [Small town/rural]	0.588351245
D0063	NC, Boone [Suburban]	0.521096069
D0064	NC, North Wilkesboro [Suburban]	0.549070958
D0065	NC, Ashe County [Large rural]	0.543805406
D0066	NC, Buncombe County [Urban core]	0.528482371
D0067	NC, Marion [Small town/rural]	0.552433833
D0068	NC, Brevard [Urban core]	0.520589709
D0069	NC, Asheville-Waynesville-Brevard [Suburban]	0.561388571
D0070	NC, Waynesville [Urban core]	0.515993199
D0071	NC, Asheville-Waynesville-Brevard [Small town/rural]	0.532458332
D0072	NC, Asheville, NC-Forest City [Urban core]	0.568916302
D0073	NC, Henderson County [Urban core]	0.48125129
D0074	NC, Polk County [Small town/rural]	0.569673118
D0075	SC, Sumter [Large rural]	0.548758561
D0076	SC, Bamberg County [Large rural]	0.545099035
D0077	SC, Lexington County [Urban core]	0.52175026
D0078	SC, Kershaw County [Urban core]	0.490033516
D0079	SC, Florence [Urban core]	0.572060965
D0080	SC, York County [Urban core]	0.585346102
D0081	SC, Richland County [Urban core]	0.542097344
D0082	SC, Orangeburg [Suburban]	0.531815911
D0083	SC, Spartanburg [Suburban]	0.498506082
D0084	SC, Greenwood [Suburban]	0.547869874
D0085	SC, Sumter [Urban core]	0.550263593
D0086	SC, Myrtle Beach-Conway [Suburban]	0.522664268
D0087	SC, Lancaster County [Urban core]	0.520670898
D0088	SC, Newberry [Suburban]	0.51829616
D0089	SC, Florence [Suburban]	0.507977955
D0090	SC, Aiken County [Urban core]	0.591641799
D0091	SC, Spartanburg [Urban core]	0.547240769
D0092	SC, Gaffney [Suburban]	0.507885754
D0093	SC, Charleston County [Urban core]	0.530442862
D0094	SC, Berkeley County [Urban core]	0.560602913
D0095	SC, Jasper County [Urban core]	0.573212615
D0096	SC, Myrtle Beach-Conway [Urban core]	0.507951648
D0097	SC, Charlotte-Concord, NC-SC-Columbia-Sumter-Orangeburg [Urban core]	0.548303525
D0099	SC, Greenville County [Urban core]	0.536773589
D0100	SC, Anderson County [Urban core]	0.520314932
D0101	SC, Seneca [Suburban]	0.508767299
D0102	SC, Edgefield County [Large rural]	0.550194569
D0103	SC, Hilton Head Island-Bluffton-Port Royal [Suburban]	0.609666815
D0104	SC, Beaufort County [Urban core]	0.519987084
D0105	GA, DeKalb County [Urban core]	0.547693461
D0106	GA, Fulton County [Urban core]	0.533545171
D0107	GA, Cobb County [Urban core]	0.54213866
D0108	GA, Gwinnett County [Urban core]	0.533130599
D0109	GA, Newton County [Urban core]	0.539232339
D0110	GA, Hall County [Urban core]	0.565722182
D0111	GA, Marietta [Suburban]	0.545525098
D0112	GA, Floyd County [Urban core]	0.558746878
D0113	GA, Cherokee County [Urban core]	0.566683821
D0114	GA, Atlanta-Sandy Springs-Roswell [Suburban]	0.526732137
D0115	GA, Thomaston [Urban core]	0.555457268
D0116	GA, Coweta County [Urban core]	0.548373523
D0117	GA, Spalding County [Urban core]	0.535463339
D0118	GA-AL, LaGrange [Suburban]	0.533145348
D0119	GA, Clayton County [Urban core]	0.558824401
D0120	GA, Vidalia [Suburban]	0.557336392
D0121	GA, Dublin [Suburban]	0.566710346
D0122	GA, Richmond County [Urban core]	0.608986074
D0123	GA, Statesboro [Suburban]	0.580421421
D0124	GA, Cornelia [Suburban]	0.565893787
D0125	GA, Toccoa [Suburban]	0.558937673
D0126	GA, Walton County [Urban core]	0.551715483
D0127	GA, Milledgeville [Suburban]	0.547442362
D0128	GA, Athens-Clarke County [Urban core]	0.554587215
D0129	GA, Lincoln County [Large rural]	0.521707218
D0130	GA, Dalton [Urban core]	0.520856767
D0131	GA, Walker County [Urban core]	0.554667356
D0132	GA, Warner Robins [Urban core]	0.576270186
D0133	GA-AL, Columbus-Auburn-Opelika [Suburban]	0.584912506
D0134	GA, Cordele [Suburban]	0.524276829
D0135	GA, Macon-Bibb County [Urban core]	0.600377097
D0136	GA, Muscogee County [Urban core]	0.537249601
D0137	GA, Milledgeville [Large rural]	0.485112235
D0139	GA, Chatham County [Urban core] [Central] 1	0.555883314
D0140	GA, Chatham County [Urban core] [Central] 2	0.523558948
D0141	GA, Waycross [Suburban]	0.535460637
D0142	GA, Jesup [Suburban]	0.614233269
D0143	GA, Douglas [Suburban]	0.553180045
D0144	GA, Glynn County [Urban core]	0.553000571
D0145	FL, Duval County [Urban core] [Central] 1	0.553899091
D0146	GA, Brantley County [Urban core]	0.554320291
D0147	GA, Valdosta [Urban core]	0.55600121
D0148	GA, Tifton [Suburban]	0.554827535
D0149	GA, Thomasville [Suburban]	0.584701747
D0150	GA, Albany [Urban core]	0.580833759
D0151	GA, Bainbridge, GA-Thomasville [Large rural]	0.539748214
D0152	GA, Moultrie [Suburban]	0.557534155
D0154	FL, Duval County [Urban core] [Central] 2	0.549157231
D0155	FL, Gainesville-Lake City [Suburban]	0.567911765
D0156	FL, St. Johns County [Urban core]	0.543842819
D0157	FL, Gainesville [Urban core]	0.556018242
D0158	FL, Tallahassee [Large rural]	0.52617291
D0159	FL, Lake County [Urban core] [Outlying] 1	0.59415959
D0160	FL, Volusia County [Urban core] [Central] 1	0.54374162
D0161	FL-GA, Jacksonville-Kingsland-Palatka [Suburban]	0.551050952
D0162	FL, Ocala [Urban core]	0.543535848
D0163	FL, Volusia County [Urban core] [Central] 2	0.494500607
D0164	FL, Leon County [Urban core]	0.547778423
D0165	FL, Franklin County [Large rural]	0.572713437
D0166	FL, Calhoun County [Urban core]	0.548243555
D0167	FL, Wakulla County [Urban core]	0.529153235
D0168	FL, Panama City-Panama City Beach [Urban core]	0.58255505
D0169	FL, Panama City-Panama City Beach [Large rural]	0.531718379
D0170	FL, Crestview-Fort Walton Beach-Destin [Urban core]	0.572887166
D0171	FL, Pensacola-Ferry Pass-Brent [Urban core]	0.543906093
D0172	FL, Orange County [Urban core] [Central] 1	0.573887452
D0173	FL, Brevard County [Urban core] [Central] 1	0.524939005
D0174	FL, Orange County [Urban core] [Central] 2	0.589636804
D0175	FL, Brevard County [Urban core] [Central] 2	0.615047511
D0176	FL, Brevard County [Urban core] [Central] 3	0.557302129
D0177	FL, Sebastian-Vero Beach-West Vero Corridor [Urban core]	0.551583085
D0178	FL, Miami-Port St. Lucie-Fort Lauderdale [Suburban]	0.543777868
D0179	FL, Broward County [Urban core] [Central] 1	0.571676055
D0180	FL, Miami-Dade County [Urban core] [Central] 1	0.563927815
D0181	FL, Miami-Dade County [Urban core] [Central] 2	0.554484255
D0182	FL, Broward County [Urban core] [Central] 2	0.558667242
D0183	FL, Palm Beach County [Urban core]	0.481105253
D0184	FL, Cape Coral-Fort Myers [Urban core]	0.536036168
D0185	FL, Port St. Lucie [Urban core]	0.546929278
D0186	FL, Hillsborough County [Urban core] [Central] 1	0.534940862
D0187	FL, Pasco County [Urban core] [Central] 1	0.54220198
D0188	FL, Hillsborough County [Urban core] [Central] 2	0.560763434
D0189	FL, Hillsborough County [Urban core] [Central] 3	0.569518612
D0190	FL, Pinellas County [Urban core] [Central] 1	0.56951963
D0191	FL, Pinellas County [Urban core] [Central] 2	0.558852501
D0192	FL, Polk County [Urban core] [Central] 1	0.585989763
D0193	FL, Polk County [Urban core] [Central] 2	0.574848146
D0194	FL, Sebring [Urban core]	0.547833908
D0195	FL, Sarasota County [Urban core]	0.497348964
D0196	FL, Punta Gorda [Urban core]	0.539979678
D0197	FL, Naples-Marco Island [Urban core]	0.544408877
D0198	FL, Manatee County [Urban core]	0.521398182
D0199	FL, Homosassa Springs [Urban core]	0.52637318
D0200	FL, Hernando County [Urban core]	0.564620901
D0201	FL, Pasco County [Urban core] [Central] 2	0.547728328
D0202	FL, Lake County [Urban core] [Outlying] 2	0.578041881
D0203	AL, Jefferson County [Urban core] [Central] 1	0.567030833
D0204	AL, Jefferson County [Urban core] [Central] 2	0.571391886
D0205	AL, Shelby County [Urban core]	0.538211959
D0206	GA-AL, Columbus-Auburn-Opelika [Large rural]	0.543586397
D0207	AL, Talladega-Sylacauga [Suburban]	0.528487391
D0208	AL, Albertville [Suburban]	0.513697616
D0209	AL, Cullman [Suburban]	0.541525406
D0210	AL, St. Clair County [Urban core]	0.554140599
D0211	AL, Bibb County [Urban core]	0.527721459
D0212	AL, Walker County [Urban core]	0.549474099
D0213	AL, Tuscaloosa County [Urban core]	0.546533659
D0214	AL, Montgomery-Selma [Small town/rural]	0.556910671
D0215	AL, Pickens County [Urban core]	0.531821032
D0216	AL, Clarke County-Lauderdale County [Suburban]	0.55798939
D0217	AL-TN, Birmingham-Cullman-Talladega, AL-Huntsville-Decatur-Albertville [Small town/rural]	0.545853602
D0218	AL, Birmingham-Cullman-Talladega [Large rural]	0.505419869
