RSA,RSA_Name,Community_Discharge,CMS_region,CMS_office
C0075,"MD, Montgomery County [Urban core] [Central] One",0.472455009,III,Philadelphia
C0076,"VA, Loudoun County [Urban core]",0.571388402,III,Philadelphia
C0077,"VA, Fauquier County [Urban core]",0.535201034,III,Philadelphia
C0078,"VA, Fairfax County [Urban core]",0.547988244,III,Philadelphia
C0079,"VA-WV, Winchester [Urban core]",0.550554261,III,Philadelphia
C0080,"MD, Charles County [Urban core]",0.502630137,III,Philadelphia
C0081,"MD, Prince George's County [Urban core]",0.52964522,III,Philadelphia
C0082,"MD, Calvert County [Urban core]",0.529219915,III,Philadelphia
C0083,"MD, St. Mary's County [Urban core]",0.539290521,III,Philadelphia
C0084,"MD, Anne Arundel County [Urban core]",0.54191224,III,Philadelphia
C0085,"MD, Baltimore County [Urban core]",0.528909773,III,Philadelphia
C0086,"MD, Montgomery County [Urban core] [Central] Two",0.497199946,III,Philadelphia
C0087,"MD, Harford County [Urban core]",0.521503481,III,Philadelphia
C0088,"MD, Baltimore city [Urban core]",0.508366169,III,Philadelphia
C0089,"MD, Carroll County [Urban core]",0.568093163,III,Philadelphia
C0090,"WV, Morgantown [Small town/rural]",0.574847903,III,Philadelphia
C0091,"MD, Queen Anne's County [Urban core]",0.486340215,III,Philadelphia
C0092,"MD, Cambridge [Suburban]",0.529793864,III,Philadelphia
C0093,"MD, Baltimore-Columbia-Towson [Large rural]",0.491536626,III,Philadelphia
C0094,"MD, Frederick County [Urban core]",0.537073318,III,Philadelphia
C0095,"MD, Washington County [Urban core]",0.593747988,III,Philadelphia
C0096,"MD, Salisbury-Ocean Pines [Urban core]",0.529106386,III,Philadelphia
C0097,"MD, Cecil County [Urban core]",0.501623919,III,Philadelphia
C0098,"VA, Arlington County [Urban core]",0.498057172,III,Philadelphia
C0099,"VA, Stafford County [Urban core]",0.579964818,III,Philadelphia
C0100,"VA, Lancaster County [Small town/rural]",0.522875138,III,Philadelphia
C0101,"VA, Richmond [Small town/rural]",0.480336053,III,Philadelphia
C0102,"VA-WV, Arlington-Alexandria-Reston [Suburban]",0.558614092,III,Philadelphia
C0103,"VA, Chesterfield County [Urban core]",0.519214777,III,Philadelphia
C0104,"VA, Albemarle County [Urban core]",0.522767155,III,Philadelphia
C0105,"VA, Rockingham County [Urban core] [Central] One",0.542566528,III,Philadelphia
C0106,"VA, Rockingham County [Urban core] [Central] Two",0.524681027,III,Philadelphia
C0107,"VA, Staunton-Stuarts Draft [Urban core]",0.537535912,III,Philadelphia
C0108,"VA, Newport News city [Urban core]",0.53274333,III,Philadelphia
C0109,"VA, Gloucester County [Urban core]",0.500909794,III,Philadelphia
C0110,"VA, Richmond [Large rural]",0.579212561,III,Philadelphia
C0111,"VA, Accomack County [Small town/rural]",0.539734954,III,Philadelphia
C0112,"VA, Northampton County [Small town/rural]",0.552070846,III,Philadelphia
C0113,"VA, Portsmouth city [Urban core]",0.541593204,III,Philadelphia
C0114,"VA-NC, Virginia Beach-Chesapeake-Norfolk [Large rural]",0.549388482,III,Philadelphia
C0115,"VA, Virginia Beach city [Urban core]",0.536835874,III,Philadelphia
C0116,"VA, Prince George County [Urban core]",0.553224145,III,Philadelphia
C0117,"VA, Brunswick County [Large rural]",0.51045273,III,Philadelphia
C0118,"VA, Danville [Large rural]",0.561248309,III,Philadelphia
C0119,"VA, Lynchburg [Urban core]",0.507605207,III,Philadelphia
C0120,"VA, Roanoke city [Urban core]",0.530210114,III,Philadelphia
C0121,"VA, Patrick County [Suburban]",0.556233441,III,Philadelphia
C0122,"VA, Henry County [Suburban]",0.562930865,III,Philadelphia
C0123,"VA, Montgomery County [Urban core]",0.527937975,III,Philadelphia
C0124,"VA, Franklin County [Urban core]",0.527609972,III,Philadelphia
